Time Step,Time of Day,Edge ID,Pedestrian Density,Latitude,Longitude
3600,01:00:00,:2342415633_7_0,4.366197183098592,33.94094129973014,-84.5199618364582
7200,02:00:00,:2342415633_7_0,4.647887323943662,33.94094129973014,-84.5199618364582
10800,03:00:00,:2342415633_7_0,3.5211267605633805,33.94094129973014,-84.5199618364582
14400,04:00:00,:2342415633_7_0,4.647887323943662,33.94094129973014,-84.5199618364582
25200,07:00:00,:2342415633_7_0,4.507042253521127,33.94094129973014,-84.5199618364582
25260,07:01:00,-225470257_0,2.421774539219889,33.9408791788246,-84.51994384325106
25320,07:02:00,:2342415677_6_0,4.9079754601226995,33.94047196785136,-84.51982022658422
28800,08:00:00,:2342415633_7_0,4.929577464788733,33.94094129973014,-84.5199618364582
28860,08:01:00,:2342415677_6_0,4.601226993865031,33.94047196785136,-84.51982022658422
32400,09:00:00,:2342415633_7_0,4.507042253521127,33.94094129973014,-84.5199618364582
32400,09:00:00,-225470244#0_0,3.465636342348671,33.940993997808306,-84.52072465810969
32460,09:01:00,-225470257_0,2.507501071581655,33.9408791788246,-84.51994384325106
32460,09:01:00,:2342415677_6_0,3.6809815950920246,33.94047196785136,-84.51982022658422
32460,09:01:00,:2342415633_7_0,4.507042253521127,33.94094129973014,-84.5199618364582
32520,09:02:00,:8549651553_7_0,2.975557917109458,33.94073228521329,-84.5170099198975
32520,09:02:00,:2342415677_6_0,4.9079754601226995,33.94047196785136,-84.51982022658422
32520,09:02:00,-225470257_0,3.750535790827261,33.9408791788246,-84.51994384325106
32580,09:03:00,-563616188#0_0,2.2946859903381642,33.94016186083505,-84.51702356943031
32580,09:03:00,:2342415677_6_0,4.294478527607362,33.94047196785136,-84.51982022658422
32580,09:03:00,-225470257_0,2.3789112730390056,33.9408791788246,-84.51994384325106
32640,09:04:00,:2342415677_6_0,4.9079754601226995,33.94047196785136,-84.51982022658422
36000,10:00:00,:2342415633_7_0,2.9577464788732395,33.94094129973014,-84.5199618364582
36060,10:01:00,-225470257_0,2.164594942134591,33.9408791788246,-84.51994384325106
36060,10:01:00,:2342415677_6_0,4.9079754601226995,33.94047196785136,-84.51982022658422
36060,10:01:00,:2342415633_7_0,4.788732394366197,33.94094129973014,-84.5199618364582
36120,10:02:00,:2342415677_6_0,5.214723926380368,33.94047196785136,-84.51982022658422
