Time Step,Time of Day,Edge ID,Pedestrian Density,Latitude,Longitude
360,18:06:00,:2342415677_6_0,5.214723926380368,33.94047196785136,-84.51982022658422
360,18:06:00,:10575648972_5_0,2.245250431778929,33.93879133508427,-84.52074646690768
360,18:06:00,:12625990043_1_0,3.2978723404255317,33.94057151717197,-84.51700463821129
360,18:06:00,:8549651553_7_0,2.2316684378320937,33.94073228521329,-84.5170099198975
360,18:06:00,-563616188#0_0,2.536231884057971,33.94016186083505,-84.51702356943031
360,18:06:00,-563616188#2_0,2.2547914317925595,33.940486758787955,-84.51700861477704
360,18:06:00,225466096#3_0,3.6331149493746278,33.93789613205457,-84.51983709195177
360,18:06:00,:2342378668_0_0,4.054054054054054,33.938047394984615,-84.51983151347649
360,18:06:00,:2342378480_2_0,2.0547945205479454,33.93789665794587,-84.51985871051306
360,18:06:00,225470262#0_0,5.0,33.93929812190349,-84.51874304678343
360,18:06:00,-225466110#3_0,5.0,33.93880789318166,-84.52080310057426
360,18:06:00,:2342378668_2_0,3.571428571428571,33.938048763100944,-84.51985018706972
360,18:06:00,1134398601#2_0,5.0,33.93882831828325,-84.52103377631191
360,18:06:00,-225470265#1_0,5.0,33.9406069414157,-84.5189798120925
360,18:06:00,-225485362#1_0,2.0833333333333335,33.93882857281175,-84.52193266434955
420,18:07:00,225466096#3_0,5.300774270399048,33.93789613205457,-84.51983709195177
420,18:07:00,225470243#2_0,2.0743919885550786,33.93879104391325,-84.52044565388142
420,18:07:00,-225470238_0,2.1177117711771176,33.93845122678029,-84.5199753450518
420,18:07:00,225466099#2_0,2.5,33.93805406060216,-84.51983121191581
420,18:07:00,:2342378668_0_0,2.7027027027027026,33.938047394984615,-84.51983151347649
420,18:07:00,:2342415566_5_0,2.851108764519535,33.938671647276166,-84.52026533620749
420,18:07:00,-225470242#0_0,3.3898305084745766,33.94015272278548,-84.51969968340052
420,18:07:00,225470359#0_0,5.0,33.93930505579028,-84.5206390809639
420,18:07:00,-225470244#0_0,4.26179604261796,33.940993997808306,-84.52072465810969
420,18:07:00,-225470257_0,4.950707243891985,33.9408791788246,-84.51994384325106
420,18:07:00,:2342415633_7_0,4.929577464788733,33.94094129973014,-84.5199618364582
420,18:07:00,:2342415677_6_0,5.214723926380368,33.94047196785136,-84.51982022658422
420,18:07:00,-563616188#1_0,2.261904761904762,33.94032219343447,-84.51701620769204
420,18:07:00,:12625990043_1_0,4.25531914893617,33.94057151717197,-84.51700463821129
420,18:07:00,-563616188#2_0,2.4802705749718155,33.940486758787955,-84.51700861477704
420,18:07:00,-563616188#0_0,2.0531400966183577,33.94016186083505,-84.51702356943031
420,18:07:00,:12625990041_1_0,2.6567481402763016,33.94040686171634,-84.51701223376942
420,18:07:00,-225470262#0_0,5.0,33.93928680570014,-84.51875862734926
420,18:07:00,-180244645_0,10.0,33.9407225508705,-84.51877547161725
420,18:07:00,-225466110#3_0,5.0,33.93880789318166,-84.52080310057426
420,18:07:00,-225485362#1_0,2.0833333333333335,33.93882857281175,-84.52193266434955
420,18:07:00,-225470265#1_0,5.0,33.9406069414157,-84.5189798120925
480,18:08:00,225470243#2_0,2.2532188841201717,33.93879104391325,-84.52044565388142
480,18:08:00,:10575648963_4_0,3.764115432873275,33.938758177547285,-84.52037164527982
480,18:08:00,225466096#3_0,5.002977963073258,33.93789613205457,-84.51983709195177
480,18:08:00,225466099#2_0,2.1568627450980395,33.93805406060216,-84.51983121191581
480,18:08:00,-1134398602_0,5.0,33.938798036629386,-84.52105672121651
480,18:08:00,-225470244#0_0,5.537993209226086,33.940993997808306,-84.52072465810969
480,18:08:00,-225470257_0,4.843549078439778,33.9408791788246,-84.51994384325106
480,18:08:00,:2342415633_7_0,4.788732394366197,33.94094129973014,-84.5199618364582
480,18:08:00,:2342415677_6_0,4.9079754601226995,33.94047196785136,-84.51982022658422
480,18:08:00,-225470245#2_0,15.0,33.940444000335965,-84.5198193073335
480,18:08:00,-563616188#2_0,2.3675310033821875,33.940486758787955,-84.51700861477704
480,18:08:00,:12625990039_1_0,2.5504782146652496,33.94024653130135,-84.51701970364128
480,18:08:00,:12625990043_1_0,4.148936170212766,33.94057151717197,-84.51700463821129
480,18:08:00,-563616188#1_0,2.380952380952381,33.94032219343447,-84.51701620769204
480,18:08:00,-372396764#6_0,2.6785714285714284,33.940056106150145,-84.51705487426047
480,18:08:00,:8549651552_6_0,2.0793950850661624,33.94008726971565,-84.51702205834403
480,18:08:00,:8549651553_7_0,2.0191285866099893,33.94073228521329,-84.5170099198975
480,18:08:00,-225466081#2_0,5.0,33.93861336195964,-84.52157437006221
480,18:08:00,-180244645_0,10.0,33.9407225508705,-84.51877547161725
480,18:08:00,225470245#2_0,5.0,33.940427613587225,-84.51981145354448
480,18:08:00,-225485362#1_0,2.0833333333333335,33.93882857281175,-84.52193266434955
480,18:08:00,1134398601#2_0,5.0,33.93882831828325,-84.52103377631191
480,18:08:00,:2342378668_0_0,5.405405405405405,33.938047394984615,-84.51983151347649
480,18:08:00,-225470262#0_0,5.0,33.93928680570014,-84.51875862734926
540,18:09:00,225466096#3_0,5.24121500893389,33.93789613205457,-84.51983709195177
540,18:09:00,1134398601#1_0,2.1167883211678835,33.93879938991456,-84.52084196397838
540,18:09:00,1134398594_0,2.576112412177986,33.93873101339812,-84.5203390086672
540,18:09:00,:10575648963_4_0,3.136762860727729,33.938758177547285,-84.52037164527982
540,18:09:00,225470243#2_0,2.2532188841201717,33.93879104391325,-84.52044565388142
540,18:09:00,:2342378668_0_0,4.054054054054054,33.938047394984615,-84.51983151347649
