Time,Total Pedestrians,Mean Speed,Waiting Pedestrians,Average Route Time,Throughput,Max Pedestrian Density,Max Density Lane,Max Waiting Time,Total Distance Traveled,Average Distance,Deviation from Shortest Route
00:42:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
00:43:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
00:44:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
00:45:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
00:46:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
00:47:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
00:48:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
00:49:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
00:50:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
00:51:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
00:52:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
00:53:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
00:54:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
00:55:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
00:56:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
00:57:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
00:58:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
00:59:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
01:00:00,6,0.0,0,330.0,0,0.05955926146515784,225466096#3_0,0.0,1843.537837464242,307.25630624404033,1.0
01:01:00,6,1.364056892044063,0,330.0,0,0.4444444444444444,-1134398600#1_0,0.0,1843.537837464242,307.25630624404033,1.0
01:02:00,6,1.4284920245721624,0,330.0,0,0.2247191011235955,-225470252#5_0,0.0,1843.537837464242,307.25630624404033,1.0
01:03:00,5,1.4418902126695765,0,308.57142857142856,1,0.16447368421052633,:2342415495_10_0,0.0,2009.2786007977913,287.0398001139702,1.0
01:04:00,4,1.3431844903823047,0,300.0,1,0.09025270758122744,:8549651552_4_0,0.0,2215.4436008610014,276.9304501076252,1.0
01:05:00,4,1.361187153238486,0,300.0,0,0.10764262648008613,:8549651550_1_0,0.0,2215.4436008610014,276.9304501076252,1.0
01:06:00,2,0.9915309431203583,0,312.0,2,0.023299161230195712,-372396764#0_0,0.0,3115.709869611734,311.5709869611734,1.0
01:07:00,1,1.1046253719052068,0,321.8181818181818,1,0.03190810465858328,225470240#0_0,0.0,3466.3056305295045,315.1186936845004,1.0
01:08:00,1,1.1258467695822294,0,321.8181818181818,0,0.14367816091954022,:2343357240_1_0,0.0,3466.3056305295045,315.1186936845004,1.0
01:09:00,1,1.1304989128613352,0,321.8181818181818,0,0.026780931976432776,225470243#0_0,0.0,3466.3056305295045,315.1186936845004,1.0
01:10:00,1,1.0845524905426416,0,321.8181818181818,0,0.035765379113018594,225470243#2_0,0.0,3466.3056305295045,315.1186936845004,1.0
01:11:00,1,1.0842882380502488,0,321.8181818181818,0,0.06807351940095303,225446903#0_0,0.0,3466.3056305295045,315.1186936845004,1.0
01:12:00,1,1.0614796996124805,0,321.8181818181818,0,0.054824561403508776,225466100#5_0,0.0,3466.3056305295045,315.1186936845004,1.0
01:13:00,0,0,0,360.0,1,0,,0,4156.382741246545,346.3652284372121,1.0
01:14:00,0,0,0,360.0,0,0,,0,4156.382741246545,346.3652284372121,1.0
01:15:00,0,0,0,360.0,0,0,,0,4156.382741246545,346.3652284372121,1.0
01:16:00,0,0,0,360.0,0,0,,0,4156.382741246545,346.3652284372121,1.0
01:17:00,0,0,0,360.0,0,0,,0,4156.382741246545,346.3652284372121,1.0
01:18:00,0,0,0,360.0,0,0,,0,4156.382741246545,346.3652284372121,1.0
01:19:00,0,0,0,360.0,0,0,,0,4156.382741246545,346.3652284372121,1.0
01:20:00,0,0,0,360.0,0,0,,0,4156.382741246545,346.3652284372121,1.0
01:21:00,0,0,0,360.0,0,0,,0,4156.382741246545,346.3652284372121,1.0
01:22:00,0,0,0,360.0,0,0,,0,4156.382741246545,346.3652284372121,1.0
01:23:00,0,0,0,360.0,0,0,,0,4156.382741246545,346.3652284372121,1.0
01:24:00,0,0,0,360.0,0,0,,0,4156.382741246545,346.3652284372121,1.0
01:25:00,0,0,0,360.0,0,0,,0,4156.382741246545,346.3652284372121,1.0
01:26:00,0,0,0,360.0,0,0,,0,4156.382741246545,346.3652284372121,1.0
01:27:00,0,0,0,360.0,0,0,,0,4156.382741246545,346.3652284372121,1.0
01:28:00,0,0,0,360.0,0,0,,0,4156.382741246545,346.3652284372121,1.0
01:29:00,0,0,0,360.0,0,0,,0,4156.382741246545,346.3652284372121,1.0
01:30:00,0,0,0,360.0,0,0,,0,4156.382741246545,346.3652284372121,1.0
01:31:00,0,0,0,360.0,0,0,,0,4156.382741246545,346.3652284372121,1.0
01:32:00,0,0,0,360.0,0,0,,0,4156.382741246545,346.3652284372121,1.0
01:33:00,0,0,0,360.0,0,0,,0,4156.382741246545,346.3652284372121,1.0
01:34:00,0,0,0,360.0,0,0,,0,4156.382741246545,346.3652284372121,1.0
01:35:00,0,0,0,360.0,0,0,,0,4156.382741246545,346.3652284372121,1.0
01:36:00,0,0,0,360.0,0,0,,0,4156.382741246545,346.3652284372121,1.0
01:37:00,0,0,0,360.0,0,0,,0,4156.382741246545,346.3652284372121,1.0
01:38:00,0,0,0,360.0,0,0,,0,4156.382741246545,346.3652284372121,1.0
01:39:00,0,0,0,360.0,0,0,,0,4156.382741246545,346.3652284372121,1.0
01:40:00,0,0,0,360.0,0,0,,0,4156.382741246545,346.3652284372121,1.0
01:41:00,0,0,0,360.0,0,0,,0,4156.382741246545,346.3652284372121,1.0
01:42:00,0,0,0,360.0,0,0,,0,4156.382741246545,346.3652284372121,1.0
01:43:00,0,0,0,360.0,0,0,,0,4156.382741246545,346.3652284372121,1.0
01:44:00,0,0,0,360.0,0,0,,0,4156.382741246545,346.3652284372121,1.0
01:45:00,0,0,0,360.0,0,0,,0,4156.382741246545,346.3652284372121,1.0
01:46:00,0,0,0,360.0,0,0,,0,4156.382741246545,346.3652284372121,1.0
01:47:00,0,0,0,360.0,0,0,,0,4156.382741246545,346.3652284372121,1.0
01:48:00,0,0,0,360.0,0,0,,0,4156.382741246545,346.3652284372121,1.0
01:49:00,0,0,0,360.0,0,0,,0,4156.382741246545,346.3652284372121,1.0
01:50:00,0,0,0,360.0,0,0,,0,4156.382741246545,346.3652284372121,1.0
01:51:00,0,0,0,360.0,0,0,,0,4156.382741246545,346.3652284372121,1.0
01:52:00,0,0,0,360.0,0,0,,0,4156.382741246545,346.3652284372121,1.0
01:53:00,0,0,0,360.0,0,0,,0,4156.382741246545,346.3652284372121,1.0
01:54:00,0,0,0,360.0,0,0,,0,4156.382741246545,346.3652284372121,1.0
01:55:00,0,0,0,360.0,0,0,,0,4156.382741246545,346.3652284372121,1.0
01:56:00,0,0,0,360.0,0,0,,0,4156.382741246545,346.3652284372121,1.0
01:57:00,0,0,0,360.0,0,0,,0,4156.382741246545,346.3652284372121,1.0
01:58:00,0,0,0,360.0,0,0,,0,4156.382741246545,346.3652284372121,1.0
01:59:00,0,0,0,360.0,0,0,,0,4156.382741246545,346.3652284372121,1.0
02:00:00,6,0.0,0,360.0,0,0.05955926146515784,225466096#3_0,0.0,4156.382741246545,346.3652284372121,1.0
02:01:00,5,1.4240701176455866,0,336.9230769230769,1,0.10362694300518134,:2343337348_6_0,0.0,4156.382741246545,319.72174932665735,1.0
02:02:00,5,1.3953686263953344,0,336.9230769230769,0,0.4444444444444444,-1134398600#1_0,0.0,4156.382741246545,319.72174932665735,1.0
